Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.121832634,0.397926744
Pregnancies,BloodPressure,0.124468471,0.223318567
Pregnancies,SkinThickness,0.092511236,0.211736881
Pregnancies,Insulin,0.090198408,0.232498665
Pregnancies,BMI,0.109658126,0.286997965
Pregnancies,DiabetesPedigreeFunction,0.100138088,0.222523898
Pregnancies,Age,0.1190241,0.302936984
Glucose,BloodPressure,0.101176313,0.343840259
Glucose,SkinThickness,0.086524851,0.349564345
Glucose,Insulin,0.042470471,0.328584578
Glucose,BMI,0.063503541,0.38465723
Glucose,DiabetesPedigreeFunction,0.089298953,0.355498613
Glucose,Age,0.099875437,0.42760217
BloodPressure,SkinThickness,0.076083957,0.161879437
BloodPressure,Insulin,0.090166426,0.199036519
BloodPressure,BMI,0.051845226,0.195754901
BloodPressure,DiabetesPedigreeFunction,0.083750548,0.172706194
BloodPressure,Age,0.092128318,0.242611037
SkinThickness,Insulin,0.083465191,0.212710832
SkinThickness,BMI,0.021208025,0.185493248
SkinThickness,DiabetesPedigreeFunction,0.100766807,0.210098002
SkinThickness,Age,0.095543435,0.266401704
Insulin,BMI,0.071434966,0.258794802
Insulin,DiabetesPedigreeFunction,0.076552011,0.208957819
Insulin,Age,0.066974015,0.260906896
BMI,DiabetesPedigreeFunction,0.087799722,0.255245111
BMI,Age,0.106651914,0.335624377
DiabetesPedigreeFunction,Age,0.111079,0.285097434
