Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.190763904,0.947327731
Pregnancies,BloodPressure,0.303323131,0.843588318
Pregnancies,SkinThickness,0.11867189,0.802212262
Pregnancies,Insulin,0.159747167,0.631748006
Pregnancies,BMI,0.122327104,0.947327731
Pregnancies,DiabetesPedigreeFunction,0.11590829,0.736638656
Pregnancies,Age,0.1048669,0.894655462
Glucose,BloodPressure,0.37155053,0.947327731
Glucose,SkinThickness,0.228275345,0.947327731
Glucose,Insulin,0.24202714,0.749539993
Glucose,BMI,0.08681509,0.947327731
Glucose,DiabetesPedigreeFunction,0.238413082,0.894655462
Glucose,Age,0.050045038,0.875345615
BloodPressure,SkinThickness,0.299458517,0.802212262
BloodPressure,Insulin,0.296504605,0.587718818
BloodPressure,BMI,0.124635841,0.768849841
BloodPressure,DiabetesPedigreeFunction,0.308445018,0.748388758
BloodPressure,Age,0.338325796,0.947327731
SkinThickness,Insulin,0.172347495,0.606836893
SkinThickness,BMI,0.159838545,0.947327731
SkinThickness,DiabetesPedigreeFunction,0.125342411,0.708561336
SkinThickness,Age,0.123068494,0.875345615
Insulin,BMI,0.298244726,0.874194379
Insulin,DiabetesPedigreeFunction,0.051557619,0.423237011
Insulin,Age,0.197506192,0.73824378
BMI,DiabetesPedigreeFunction,0.222648552,0.947327731
BMI,Age,0.000918086,0.894655462
DiabetesPedigreeFunction,Age,0.257860616,0.947327731
